"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Flexible Carbon Nanotube Sensors with Screen Printed and Interdigitated Electrodes","F. C. Loghin; M. Bobinger; A. Rivadeneyra; M. Becherer; P. Lugli","Chair of Nanoelectronics, Department for electrical and computer engineering, Technical University of Munich, Munich, Germany; Chair of Nanoelectronics, Department for electrical and computer engineering, Technical University of Munich, Munich, Germany; Pervasive Electronics Advanced Research Laboratory (PEARL), University of Granada, Granada, Spain; Chair of Nanoelectronics, Department for electrical and computer engineering, Technical University of Munich, Munich, Germany; Faculty of Science and Technology, Free University of Bolzano, Bolzano-Bozen, Italy",2019 IEEE 19th International Conference on Nanotechnology (IEEE-NANO),"13 Feb 2020","2019","","","1","4","Printed electronics is a rapidly emerging field due to the development of new types of functional materials and inks that can be deposited using well-known and widely established printing techniques. Commonly, sensor structures or interconnects on printed circuit boards (PCBs) are fabricated using wet etching and photolithography steps. To overcome the limitations of those techniques, in this contribution, we use a simple and scalable screen printing process to deposit silver-flake based interdigitated electrode (IDE) structures onto sprayed carbon nanotube (CNT) films. The silver (Ag) structures show a low sheet resistance and resistivity of 0.14 Ω/sq. and 6.1∙10-7 Ω∙m, respectively, at a thickness of around 4.4 µm. Attributed to its flexibility and robustness, a polyimide foil (Kapton®HN) was selected as the substrate. The CNT films with printed IDE that are entirely fabricated in the ambient air are then characterized as resistive gas sensors to detect ammonia (NH3). A high response of around 20% is achieved for an NH3 concentration of 50 ppm.","1944-9380","978-1-7281-2892-4","10.1109/NANO46743.2019.8993685","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8993685","","Printing;Electrodes;Temperature sensors;Wet etching;Silver;Films;Contacts;Lithography;Carbon nanotubes;Substrates","","3","","30","IEEE","13 Feb 2020","22-26 July 2019","22-26 July 2019","IEEE","IEEE Conferences"
"Acoustic characterization of laser-induced graphene film thermoacoustic loudspeakers","P. L. Torraca; M. Bobinger; F. J. Romero; A. Rivadeneyra; Y. Ricci; L. Cattani; D. P. Morales; N. Rodríguez; A. Salinas-Castillo; L. Larcher; P. Lugli","Department of Science and Methods for Engineering, University of Modena and Reggio Emilia, Reggio Emilia, Italy; Chair of Nanoelectronics, Department for electrical and computer engineering, Technical University of Munich, Munich, Germany; Pervasive Electronics Advanced Research Laboratory (PEARL), University of Granada, Granada, Spain; Pervasive Electronics Advanced Research Laboratory (PEARL), University of Granada, Granada, Spain; Department of Science and Methods for Engineering, University of Modena and Reggio Emilia, Reggio Emilia, Italy; ASK Industries S.p.A., Reggio Emilia, Italy; Department of Analytical Chemistry, University of Granada, Granada, Spain; Pervasive Electronics Advanced Research Laboratory (PEARL), University of Granada, Granada, Spain; Department of Analytical Chemistry, University of Granada, Granada, Spain; Department of Science and Methods for Engineering, University of Modena and Reggio Emilia, Reggio Emilia, Italy; Faculty of Science and Technology, Free University of Bolzano, Bolzano-Bozen, Italy",2019 IEEE 19th International Conference on Nanotechnology (IEEE-NANO),"13 Feb 2020","2019","","","5","8","We report on the superior performance of laser-induced graphene (LIG) film thermoacoustic (TA) loudspeakers. LIG films are fabricated by laser-ablation of polyimide foil and contacted by screen-printing of silver paste, allowing for a facile, ambient condition fabrication process. The LIG film TA loudspeakers achieve up to 50 dB SPL at 1m distance, showing a 10 dB higher efficiency with respect to the nanostructured TA loudspeakers with polyimide substrate reported in literature.","1944-9380","978-1-7281-2892-4","10.1109/NANO46743.2019.8993681","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8993681","","Loudspeakers;Printing;Fabrication;Silver;Graphene;Polyimides;Acoustics;Substrates;Nanotechnology","","6","","20","IEEE","13 Feb 2020","22-26 July 2019","22-26 July 2019","IEEE","IEEE Conferences"
"Exploiting Lithography Limits for Hardware Security Applications","R. S. Khan; N. Noor; C. Jin; S. Muneer; F. Dirisaglik; A. Cywar; P. H. Nguyen; M. van Dijk; A. Gokirmak; H. Silva","Department of Electrical and Computer Engineering, University of Connecticut, Storrs, CT, USA; Department of Electrical and Computer Engineering, University of Connecticut, Storrs, CT, USA; Department of Electrical and Computer Engineering, University of Connecticut, Storrs, CT, USA; Department of Electrical and Computer Engineering, University of Connecticut, Storrs, CT, USA; Department of Electrical and Computer Engineering, University of Connecticut, Storrs, CT, USA; Department of Electrical and Computer Engineering, University of Connecticut, Storrs, CT, USA; Department of Electrical and Computer Engineering, University of Connecticut, Storrs, CT, USA; Department of Electrical and Computer Engineering, University of Connecticut, Storrs, CT, USA; Department of Electrical and Computer Engineering, University of Connecticut, Storrs, CT, USA; Department of Electrical and Computer Engineering, University of Connecticut, Storrs, CT, USA",2019 IEEE 19th International Conference on Nanotechnology (IEEE-NANO),"13 Feb 2020","2019","","","9","12","Hardware security primitives such as physical obfuscated keys (POKs) allow tamper-resistant storage of random keys based on manufacturing or physical variability. The output bits of existing POK designs need to be first corrected due to measurement noise using error correction methods and then de-correlated by privacy amplification processes. These additional requirements increase the hardware overhead and reduce the efficiency of the system. In this work, we propose an intrinsically reliable POK design capable of generating random bits by exploiting the limits of the lithographic process for a given technology. Our design does not require any error correction and requires only XOR circuits for privacy amplification which reduces the hardware overhead of the whole system.","1944-9380","978-1-7281-2892-4","10.1109/NANO46743.2019.8993902","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8993902","","Privacy;Hardware security;Lithography;Circuits;Noise;Reliability engineering;Error correction;Noise measurement;Integrated circuit reliability;Nanotechnology","","1","","24","IEEE","13 Feb 2020","22-26 July 2019","22-26 July 2019","IEEE","IEEE Conferences"
"Investigation on Nickel-based Nano-scaffold Getter with Induction Heating and Rapid Activation","S. Lin; X. Huang; D. Gu; W. Lv; L. Wang","Institute of Non-silicon Micro-nano Manufacturing Technology, Xiamen University, Xiamen, China; Institute of Non-silicon Micro-nano Manufacturing Technology, Xiamen University, Xiamen, China; Pen-Tung Sah Institute of Micro-Nano Science and Technology, Xiamen University, Xiamen, China; Pen-Tung Sah Institute of Micro-Nano Science and Technology, Xiamen University, Xiamen, China; Institute of Non-silicon Micro-nano Manufacturing Technology, Xiamen University, Xiamen, China",2019 IEEE 19th International Conference on Nanotechnology (IEEE-NANO),"13 Feb 2020","2019","","","13","18","Getter is an important component of MEMS vacuum packaging, which can improve the performance, life and stability of the MEMS device. The existing 2D planar film getter has a low suction capacity and requires long-time activation, which restricts the high-quality batch production of MEMS devices. In this paper, the technology of nickel-based nano-scaffold getter combined with micro-area induction heating activation is adopted to meet the characteristic requirements of MEMS vacuum device packaging for large start-up inspiration rate, high inspiration capacity and quick activation of getter. Focusing on the structure and morphology, deposition of getter materials, getter performance test of nickel-based nano-scaffold based high-efficiency getter that can be induced and activated was preliminarily obtained.","1944-9380","978-1-7281-2892-4","10.1109/NANO46743.2019.8993897","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8993897","","Micromechanical devices;Performance evaluation;Surface morphology;Morphology;Vacuum technology;Packaging;Nickel compounds;Gettering;Surface treatment;Induction heating","","","","7","IEEE","13 Feb 2020","22-26 July 2019","22-26 July 2019","IEEE","IEEE Conferences"
"Effect of Thin SiO2 Layer on Silicon-on-Glass Anodic Bonding","Z. Chen; C. Gao; T. Guan; F. Yang; L. Shi; D. Zhang","College of Physics and Information Engineering, Fuzhou University, Fujian, China; Institute of Microelectronics, Peking University, China; Institute of Microelectronics, Peking University, China; Institute of Microelectronics, Peking University, China; College of Physics and Information Engineering, Fuzhou University, Fujian, China; Institute of Microelectronics, Peking University, China",2019 IEEE 19th International Conference on Nanotechnology (IEEE-NANO),"13 Feb 2020","2019","","","19","22","this paper reported the effect of SiO2 on the silicon-on-glass anodic bonding theoretically and experimentally for the first time. Silicon glass bonding mechanism based on soft break-down of SiO2 is established and demonstrated. The electrical model of Si-SiO2-Glass anodic bonding stated clearly that anodic bonding voltage must be higher than the break-down voltage of SiO2 to start bonding. The break-down voltage of SiO2 is proportional to its thickness. Bonding strength is finally extracted by a customized on-chip testing device. It is found that the thin SiO2 layer on the silicon surface affects the bonding strength seriously. The bonding strength of anodic bonding with SiO2 layer is 25% stronger than that of typical Si-Glass anodic bonding near the periphery of the silicon wafer, and 8% stronger than that of typical Si-Glass anodic bonding in the central region of the silicon wafer.","1944-9380","978-1-7281-2892-4","10.1109/NANO46743.2019.8993680","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8993680","","Silicon compounds;Semiconductor device modeling;Breakdown voltage;Conferences;Glass;Silicon;System-on-chip","","1","","8","IEEE","13 Feb 2020","22-26 July 2019","22-26 July 2019","IEEE","IEEE Conferences"
"An Efficient Method to Reduce Crosstalk for Multi-layered GNR Interconnects at 32 nm Technology","V. R. Kumbhare; P. Prasanna Paltani; M. K. Majumder","Department of Electronics and Communication Engineering, DSPM IIIT, Naya Raipur, C.G., India; Department of Electronics and Communication Engineering, DSPM IIIT, Naya Raipur, C.G., India; Department of Electronics and Communication Engineering, DSPM IIIT, Naya Raipur, C.G., India",2019 IEEE 19th International Conference on Nanotechnology (IEEE-NANO),"13 Feb 2020","2019","","","23","27","In recent, the coupling capacitance becomes prominent in deep submicron and nanotechnology. It can significantly affect the performance of a digital circuit that causes digital logic fault and degrades the performance of Integrated Circuits (ICs). To address this problem, the research paper introduces two shielding methodologies (active and passive shielding) of a multi-layered graphene nanoribbon (MLGNR). An RLC based multi-conductor transmission (MTL) line model is simplified to an equivalent single conductor (ESC) to address the impact of the crosstalk-induced delay. The model parameters are used with reference to the ITRS 32 nm technology in order to demonstrate the performance for different interconnect spacing and lengths. For better understanding, shielded and unshielded methodologies are demonstrated to provide a comparative analysis and improvement with respect to unshielded interconnect lines. Irrespective of the shielding methodology, it is evident that an active shielding provides an improved crosstalk-induced delay compared to passive shielding for different interconnect spacing. At 32nm, the simulation results demonstrate that an active shielded interconnect outperforms passive and without shielding techniques by on an average 6.31% and 44.51% for the crosstalk-induced delay, respectively for different spacing at global lengths. In addition to that, active shielding provides an improved power delay product (PDP) of approximately 6.75% and 16.83% than passive shielded interconnects for 5nm and 20nm spacing, respectively at 1000μm length. Therefore, in order to accomplish the constraint of next-generation technology, an MLGNR can be adopted as a desirable shielding nanomaterial.","1944-9380","978-1-7281-2892-4","10.1109/NANO46743.2019.8993958","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8993958","","","","5","","19","IEEE","13 Feb 2020","22-26 July 2019","22-26 July 2019","IEEE","IEEE Conferences"
"Thermal Conductivity of Rough Silicon Nanowires with Silicide Layer","S. Lee; K. Kim; M. Meyyappan; C. -K. Baek","Department of Electrical Engineering, Pohang University of Science and Technology (POSTECH), Pohang, Republic of Korea; Department of Creative IT Engineering and Future IT Innovation Laboratory, Pohang University of Science and Technology (POSTECH), Pohang, Republic of Korea; NASA Ames Research Center, Mountain View, CA, USA; Department of Electrical Engineering, Pohang University of Science and Technology (POSTECH), Pohang, Republic of Korea",2019 IEEE 19th International Conference on Nanotechnology (IEEE-NANO),"13 Feb 2020","2019","","","37","41","Rough silicon nanowires have considered as promising building block for high efficiency thermoelectric device. We demonstrate that the thermal conductivity of rough nanowires is further reduced by forming cobalt silicide layer on their both ends. This reduction is experimentally investigated using differential 3ω method. The rough nanowire exhibits 10% reduction of thermal conductivity by forming a 100 nm thick cobalt silicide layer at both nanowire ends. To investigate the effect of silicide layer on the reduction in thermal conductivity, the theoretical analysis was performed using the nanoinclusion scattering and interfacial thermal resistance model. It found that the cobalt silicide layer reduces thermal conductivity by disturbing thermal transport in the silicon/cobalt silicide interface.","1944-9380","978-1-7281-2892-4","10.1109/NANO46743.2019.8993955","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8993955","","Silicides;Thermal resistance;Scattering;Phonons;Conductivity;Thermal conductivity;Silicon;Nanowires;Thermal analysis;Cobalt","","1","","19","IEEE","13 Feb 2020","22-26 July 2019","22-26 July 2019","IEEE","IEEE Conferences"
"A Frequency Up-Converted Piezoelectric Energy Harvesting System with Broad Bandwidth Based on MEMS PZT Thick Film Technology","M. Huang; H. Liu; T. Chen; Z. Yang; L. Sun","School of Mechanical and Electric Engineering, Jiangsu Provincial Key Laboratory of Advanced Robotics, Soochow University, Suzhou, China; School of Mechanical and Electric Engineering, Jiangsu Provincial Key Laboratory of Advanced Robotics, Soochow University, Suzhou, China; School of Mechanical and Electric Engineering, Jiangsu Provincial Key Laboratory of Advanced Robotics, Soochow University, Suzhou, China; School of Mechanical and Electric Engineering, Jiangsu Provincial Key Laboratory of Advanced Robotics, Soochow University, Suzhou, China; School of Mechanical and Electric Engineering, Jiangsu Provincial Key Laboratory of Advanced Robotics, Soochow University, Suzhou, China",2019 IEEE 19th International Conference on Nanotechnology (IEEE-NANO),"13 Feb 2020","2019","","","42","45","In this paper, an impact-based frequency up-converted piezoelectric energy harvesting system (PEHS) is proposed and fabricated using MEMS piezoelectric thick film technology. The PEHS mainly consists of a high-frequency piezoelectric cantilever (PC-H) with resonate frequency of 935 Hz and a low-frequency stainless-steel cantilever (SC-L) with resonate frequency of 23 Hz. Under the external low-frequency vibration excitation, the SC-L at the bottom impacts the PC-H during the movement, in this way the low-frequency external vibration is converted to high-frequency piezoelectric cantilever vibration. When the PC-H is triggered to vibrate at 935 Hz, the maximum voltage output is 74 mV at 1.0 g. Then incorporate the PC-H with SC-L and form the PEHS, at driving frequency of 20 Hz to 34 Hz, the maximum voltage output and 3dB bandwidth of the PEHS reach 1220 mV and 4.7 Hz, respectively. The maximum voltage output of the PEHS (1220 mV) is more than 16 times of that of the single PC-H (74 mV).","1944-9380","978-1-7281-2892-4","10.1109/NANO46743.2019.8993889","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8993889","","Vibrations;Micromechanical devices;Fabrication;Lapping;Resonant frequency;Thick films;Bandwidth","","","","15","IEEE","13 Feb 2020","22-26 July 2019","22-26 July 2019","IEEE","IEEE Conferences"
"Activating inert basal plane of MoS2 for H2O dissociation and HER via formation of vacancy defects: A DFT study","K. Ye; M. Li; J. Luo; B. Wu; L. Lai","College of Mechanical Engineering and Automation, Fuzhou University, Fuzhou, China; College of Mechanical Engineering and Automation, Fuzhou University, Fuzhou, China; Xiamen Tungsten CO., LTD, Xiamen, China; College of Materials Science and Engineering, Fuzhou University, Fuzhou, China; College of Information & Mechanical and Electrical Engineering, Ningde Normal University, Ningde, China",2019 IEEE 19th International Conference on Nanotechnology (IEEE-NANO),"13 Feb 2020","2019","","","48","53","The molybdenum disulfide (MoS2), as a promising and nonprecious catalyst, has attracted growing interest towards the hydrogen production, especially the dissociation of water and the hydrogen evolution reaction (HER). However, the known active sites are limited to edges and one primitive cell missing vacancies. Herein, the potential catalytic activities of five types of vacancies in the inert basal plane of MoS2 are investigated by using first-principle density functional theory (DFT) calculations. two types of vacancies (VMo and VMoS2) are found to have the promising catalytic activities for the splitting of H2O and have the comparable or even better catalytic activities for the HER, in compared with the precious platinum. Our theoretical works suggest that formation of the specified vacancy defects on the inert basal plane will enhance the catalytic activities of MoS2 for the dissociation of H2O and the HER, which improves the efficiency of hydrogen production.","1944-9380","978-1-7281-2892-4","10.1109/NANO46743.2019.8993927","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8993927","","Water;Hydrogen;Discrete Fourier transforms;Platinum;Production;Density functional theory;Structural engineering","","1","","44","IEEE","13 Feb 2020","22-26 July 2019","22-26 July 2019","IEEE","IEEE Conferences"
"Development of Heterocyclic-C61-butyric Acid Methyl Ester/ Pyrazine (HCBM-Pyrazine) acceptor material for organic solar cells applications","M. B. Salim; R. Nekovei; T. Elwaie; J. Ramanujam","Sustainable Energy Systems Engineering Program, Texas A&M University–Kingsville, Kingsville, TX; Electrical Engineering and Computer Science, Texas A&M University–Kingsville, Kingsville, TX; Pharmaceutical Chemistry Department, Cairo University, Cairo, Egypt; Physics of Energy Harvesting Division, CSIR-National Physical Laboratory, Delhi, India",2019 IEEE 19th International Conference on Nanotechnology (IEEE-NANO),"13 Feb 2020","2019","","","54","58","This paper presents a novel modification on the Phenyl-C61-butyric acid methyl ester (PCBM) for better performance as an acceptor material by introducing a Heterocyclic ring (Pyrazine) in the place of the Phenyl group of the PCBM to form a new acceptor material, Heterocyclic-C61-butyric Acid Methyl Ester/ Pyrazine (HCBM-Pyrazine). The electronic properties for the new material are obtained theoretically through the use of the Density Functional Theory (DFT) method with the help of the Gaussian 16 program. The results show that the HCBM-Pyrazine can create more voltage if used with any donor material. Besides that, it has a considerably higher electron affinity, making it a more efficient electron acceptor than the original PCBM. Furthermore, the results show that both molecules have closer absorption spectrums and reorganization energies.","1944-9380","978-1-7281-2892-4","10.1109/NANO46743.2019.8993877","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8993877","","Absorption;Photonic band gap;Photovoltaic cells;Discrete Fourier transforms;Voltage;Density functional theory;Power conversion;Polymers;Nanotechnology;Electrons","","","","27","IEEE","13 Feb 2020","22-26 July 2019","22-26 July 2019","IEEE","IEEE Conferences"
