"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Front Cover","",,IEEE Transactions on Nanotechnology,"13 Dec 2019","2019","18","","C1","C1","Presents the front cover for this issue of the publication.","1941-0085","","10.1109/TNANO.2019.2901416","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8932644","","","","","","","IEEE","13 Dec 2019","Dec. 2019","","IEEE","IEEE Journals"
"IEEE Transactions on Nanotechnology publication information","",,IEEE Transactions on Nanotechnology,"13 Dec 2019","2019","18","","C2","C2","Presents a listing of the editorial board, board of governors, current staff, committee members, and/or society editors for this issue of the publication.","1941-0085","","10.1109/TNANO.2019.2901418","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8932679","","","","","","","IEEE","13 Dec 2019","Dec. 2019","","IEEE","IEEE Journals"
"Table of Contents","",,IEEE Transactions on Nanotechnology,"16 Dec 2019","2019","18","","i","vii","Presents the table of contents for this issue of the publication.","1941-0085","","10.1109/TNANO.2019.2901420","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8933288","","","","","","","IEEE","16 Dec 2019","Dec. 2019","","IEEE","IEEE Journals"
"Perovskite Methylammonium Lead Trihalide Heterostructures: Progress and Challenges","A. M. Al-Amri; B. Cheng; J. -H. He","Computer, Electrical and Mathematical Sciences and Engineering Division, King Abdullah University of Science and Technology, Thuwal, Saudi Arabia; Computer, Electrical and Mathematical Sciences and Engineering Division, King Abdullah University of Science and Technology, Thuwal, Saudi Arabia; Computer, Electrical and Mathematical Sciences and Engineering Division, King Abdullah University of Science and Technology, Thuwal, Saudi Arabia",IEEE Transactions on Nanotechnology,"3 Jan 2019","2019","18","","1","12","The field of perovskite heterostructures (PHSs) has seen considerable progress in recent years. Particularly, these structures have attracted interest because of their remarkably efficient photovoltaic and optoelectronic properties. This paper reviews a wide range of potential applications of PHSs. The review begins by introducing and summarizing the fundamental theory of PHSs and pays special attention to their basic properties. The optical and electronic properties of PHSs are subsequently described in detail, with an emphasis on the approaches that were followed to discover these properties. The crystal structures of heterostructures are examined by observing representative studies of the perovskite crystal. Recent progress in research involving PHSs demonstrates the important role of the optoelectronic devices.","1941-0085","","10.1109/TNANO.2018.2872887","King Abdullah University of Science and Technology; King Abdulaziz City for Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8481714","Defect engineering;methylammonium lead trihalide;optoelectronic;photovoltaic cell;perovskite heterostructure;surface engineering","Lead;Photovoltaic systems;Lattices;Crystals;Photovoltaic cells","","69","","121","IEEE","4 Oct 2018","2019","","IEEE","IEEE Journals"
"Multi-Layered TiO2 Nanotubes Array-Based Highly Sensitive Room-Temperature Vapor Sensors","P. Bindra; A. Hazra","Department of Electrical and Electronics Engineering, Birla Institute of Technology and Science Pilani, Pilani, India; Department of Electrical and Electronics Engineering, Birla Institute of Technology and Science Pilani, Pilani, India",IEEE Transactions on Nanotechnology,"3 Jan 2019","2019","18","","13","20","Single-, double-, and triple-layered TiO2 nanotubes (NTs) array were synthesized by using a voltage pulse-assisted anodic oxidation technique. Morphological and structural evolution of different NTs have been studied by field-emission scanning electron microscopy and X-ray diffraction spectroscopy. “Au/TiO2 NT layer(s)/Ti” types vertical structured sensors were fabricated and characterized at room temperature (300 K) toward multiple volatile organic compounds (VOCs) and high sensitivity was observed at low concentration (40-160 ppm) of VOCs. Response magnitude was increased with increase of number of layer(s) and found maximum of ~96% at 160 ppm of ethanol for triple-layered NTs. Efficient sensing was achieved for multi-layered TiO2 NTs due to the benefits of 1) incremental effective surface area and 2) Schottky barrier effect at interlayer junctions.","1941-0085","","10.1109/TNANO.2018.2876555","Early Carrier Research Grant(grant numbers:ECR/2015/000345); SERB, Government of India; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8502936","TiO $_{2}$  Nanotubes;Multi-layered;Room temperature sensing;High sensitivity","Nanotubes;Temperature sensors;Sensor arrays;Sensor phenomena and characterization;Ethanol;Substrates","","11","","26","IEEE","23 Oct 2018","2019","","IEEE","IEEE Journals"
"Evolution From Single to Hybrid Nanogenerator: A Contemporary Review on Multimode Energy Harvesting for Self-Powered Electronics","A. A. Khan; A. Mahmud; D. Ban","Department of Electrical and Computer Engineering, University of Waterloo, ON, Canada; Department of Electrical and Computer Engineering, University of Waterloo, ON, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada",IEEE Transactions on Nanotechnology,"3 Jan 2019","2019","18","","21","36","Energy harvesting devices have strong potential to not only meet growing global energy demand but also support a wide range of self-powered electronics applications. Solar cells, electrochemical cells, piezoelectric/triboelectric/pyroelectric nanogenerators, and magnetoelectric energy harvesters are enabling technologies for converting solar, chemical, mechanical, thermal, and magnetic energy to electricity. Merging these harvesters to form hybrid energy cells can help optimize operation of self-powered systems, providing multimode energy harvesting capability that can leverage several energy sources either simultaneously or individually. Energy produced from these hybrid energy cells even can be stored in Li-ion batteries to power various personal electronics, sensors, and next generation technology for the Internet of Things. Ultimately, hybridization provides another degree of freedom in terms of more effective energy utility. This review presents the evolution of the hybrid energy cell concept and development, explores the fabrication approaches taken, and provides insights on the limitations of existing devices, steps toward performance optimization, and the enormous potential for these technologies to benefit myriad applications. Hybrid energy cells show higher output performance by providing better charging characteristics than individual energy harvester unit.","1941-0085","","10.1109/TNANO.2018.2876824","Natural Sciences and Engineering Research Council of Canada; Ontario Centre of Excellence; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8506621","Hybrid nanogenerator;hybrid energy cell;piezoelectric nanogenerator (PENG);pyroelectric nanogenerator;solar cell;electrochemical cell;triboelectric nanogenerator (TENG);magnetoelectric energy harvester (ME)","Energy harvesting;Sensors;Hybrid power systems;Photovoltaic cells;Magnetoelectric effects;Electromagnetics;Electric potential","","63","","80","IEEE","24 Oct 2018","2019","","IEEE","IEEE Journals"
"The Stability of Exfolicated FeSe Nanosheets During in-air Device Fabrication Processes","R. Yang; W. Luo; S. Chi; D. Bonn; G. M. Xia","Department of Physics and Astronomy, University of British Columbia, Vancouver, Canada; Department of Materials Engineering, University of British Columbia, Vancouver, Canada; Department of Physics and Astronomy, University of British Columbia, Vancouver, Canada; Department of Physics and Astronomy, University of British Columbia, Vancouver, Canada; Department of Materials Engineering, University of British Columbia, Vancouver, Canada",IEEE Transactions on Nanotechnology,"4 Jan 2019","2019","18","","37","41","We studied the stability and superconductivity of FeSe nanosheets during an in-air device fabrication process. Methods were developed to improve the exfoliation yield and to maintain the superconductivity of FeSe. Raman spectroscopy, atomic force microscopy, optical microscopy, and time-of-flight-secondary-ion-mass-spectroscopy measurements show that FeSe nanosheets decayed in air. Precipitation of Se particles and the oxidation of iron likely occurred during the decay process. Transport measurements revealed that the superconductivity of FeSe disappeared during a conventional electron beam lithography process. Shadow mask evaporation and transfer onto pre-defined electrodes methods were shown to be effective in maintaining the superconductivity after the in-air device fabrication process. These methods developed provide a way of making high quality FeSe nano-devices.","1941-0085","","10.1109/TNANO.2018.2877524","University of British Columbia; Natural Sciences and Engineering Research Council of Canada; Canada Foundation for Innovation; Stewart Blusson Quantum Matter Institute at UBC; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8513993","FeSe;layered materials;nanofabrication;Raman;superconductivity;stability","Superconducting transition temperature;Image color analysis;Temperature measurement;Fabrication;Optical imaging;Chemicals","","11","","20","IEEE","28 Oct 2018","2019","","IEEE","IEEE Journals"
"Plasmonic Mid-Infrared Wavelength Selector and Linear Logic Gates Based on Graphene Cylindrical Resonator","S. Asgari; N. Granpayeh; Z. G. Kashani","Center of Excellence in Electromagnetics, Faculty of Electrical Engineering, K.N. Toosi University of Technology, Tehran, Iran; Center of Excellence in Electromagnetics, Faculty of Electrical Engineering, K.N. Toosi University of Technology, Tehran, Iran; Center of Excellence in Electromagnetics, Faculty of Electrical Engineering, K.N. Toosi University of Technology, Tehran, Iran",IEEE Transactions on Nanotechnology,"3 Jan 2019","2019","18","","42","50","In this paper, we report the design, simulation, and some applications of a tunable graphene-based cylindrical resonator by analytical and numerical two-dimensional finite-difference time-domain methods. The base structure operates as a bandpass filter in the mid-infrared region. The tunability of the filter is achieved by changing the radius and/or the chemical potential of the graphene cylinder. Based on the proposed cylindrical resonator, a two-channel wavelength selector and some novel linear plasmonic logic gates are designed and proposed. The even- and the odd-order resonance modes are separated in the two-channel wavelength selector and are transmitted to the output graphene waveguides. Moreover, the plasmonic logic gates including XOR, XNOR, NAND, and NOT having the significant features such as linearity, compact size, and low loss are proposed. The analytical approach and the numerical simulations prove the excellent performance of the logic gates in comparison to the reported ones in the literature. The simulation results demonstrate that the maximum ON/OFF ratios for these plasmonic logic gates are 29.09, 28.78, 28.78, and 29.09 dB, respectively. The proposed functional ultra-compact nano-scale graphene-based structures offer potential basic blocks for mid-infrared optical computing and signal processing.","1941-0085","","10.1109/TNANO.2018.2875000","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8515247","Graphene based Structures;Cylindrical Resonator;Wavelength Selector;Plasmonic Logic Gates","Graphene;Logic gates;Optical resonators;Silicon compounds;Plasmons;Electromagnetic waveguides","","33","","81","IEEE","30 Oct 2018","2019","","IEEE","IEEE Journals"
"Development of a Thermally Aware-Compact Model With an Optimized Heat Sink for FinFETs","M. Jin; Y. J. Lee; M. Song; S. Y. Kim","Department of Semiconductor Science, Dongguk University, Seoul, South Korea; Qualcomm Corporate Research and Development, San Diego, CA, USA; Department of Semiconductor Science, Dongguk University, Seoul, South Korea; Department of Semiconductor Science, Dongguk University, Seoul, South Korea",IEEE Transactions on Nanotechnology,"3 Jan 2019","2019","18","","51","54","In this letter, we develop a compact thermal model that can predict changes in the threshold voltage and drain current because of the junction temperature, ΔJ, and its effect on a circuit performance by using circuit simulators. In addition, we propose a thermally aware layout methodology for FinFET-based digital circuits. Although heat sinks (called “via pillars”) are generally used for heat dissipation in FinFETs, these features increase the parasitic capacitance and power consumption. Therefore, we propose an optimized heat sink that is only on the critical node (showing high activity and drain-source voltage, VDS) and uses high metal stacks up to metal 5. With the optimization of this heat sink, we observe that the TJ of a 4-input NAND gate can be reduced about 3.2% while the oscillation frequency of an 11-stage ring oscillator can be increased about 12%, compared to conventional heat sinks.","1941-0085","","10.1109/TNANO.2018.2879501","Qualcomm Technology, Inc.; Ministry of Science and ICT, South Korea; Information Technology Research Center support program(grant numbers:IITP-2018-0-01421); Dongguk University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8529267","FinFET;heat sink;NAND gate;ring oscillator;thermal model","Metals;Heat sinks;Integrated circuit modeling;Layout;Logic gates;FinFETs;Power demand","","7","","7","IEEE","9 Nov 2018","2019","","IEEE","IEEE Journals"
"Impedance Variation on Lattice Misoriented Few-Layer Graphene Via Layer Decoupling","W. K. Kim; J. Oh; H. S. Yoon; S. J. Kim; J. Y. Park; J. Jung; S. Chan Jun","Yonsei University, Seoul, South Korea; Yonsei University, Seoul, South Korea; Yonsei University, Seoul, South Korea; Yonsei University, Seoul, South Korea; Yonsei University, Seoul, South Korea; University of Seoul, Seoul, South Korea; Yonsei University, Seoul, South Korea",IEEE Transactions on Nanotechnology,"3 Jan 2019","2019","18","","55","61","We demonstrate radio frequency (RF) transmission characteristics in a layer stacked manner. Generally, as the number of graphene layers increases, the impedance is reduced and the transmission efficiency of monolayer graphene becomes better than that of chemically synthesized monolayer graphene. Depending on the stacking method, graphene may or may not be well aligned between layers; however, this characteristic affects the RF transmission. Graphene extracted from graphite is well aligned with other layers; however, synthesized graphene is randomly stacked because it is transferred and the layers are not aligned. Scattering parameters and the measured impedance shows that graphene extracted from graphite exhibits better transmission characteristics in the case of single-layer graphene, whereas synthesized graphene shows better transmission characteristics in the case of multiple-layer graphene. We calculated the change in conductivity based on the matched angle between layers of graphene and found that the conductivity was higher when the matching was less, compared to when it was well-matched. These results are also reflected in the impedance extracted from the scattering parameters. It was found that different impedance patterns are formed in single-layer graphene and in multiple layers for multi-layer graphene with stacking methods. This is because the layers are decoupled when they are randomly stacked.","1941-0085","","10.1109/TNANO.2018.2878473","Nano-Material Technology Development Program through the National Research Foundation of Korea; Ministry of Science; ICT and Future Planning(grant numbers:NRF-2017M3A7B4041987); National Center for Optically Assisted Mechanical Systems(grant numbers:2015R1A5A1037668); Ministry of Education, Science and Technology (MEST); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8532140","Decoupling;graphene layers;impedance;Lattice misorientation;nanoelectronics","Graphene;Impedance;Electrodes;Nonhomogeneous media;Radio frequency;Transmission line measurements;Scattering parameters","","5","","33","IEEE","11 Nov 2018","2019","","IEEE","IEEE Journals"
