"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"NANO24 Front Matter","",,2024 IEEE 24th International Conference on Nanotechnology (NANO),"22 Aug 2024","2024","","","1","34","","1944-9380","979-8-3503-8624-0","10.1109/NANO61778.2024.10628595","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628595","","","","","","","IEEE","22 Aug 2024","8-11 July 2024","8-11 July 2024","IEEE","IEEE Conferences"
"Accurate Modeling of Quantum Transport in Graphene Geometric Diode for THz Rectenna Applications","G. M. Zampa; D. Mencarelli; L. Pierantoni","Department of Information Engineering, Marche Polytechnic University, Ancona, Italy; Department of Information Engineering, Marche Polytechnic University, Ancona, Italy; Department of Information Engineering, Marche Polytechnic University, Ancona, Italy",2024 IEEE 24th International Conference on Nanotechnology (NANO),"22 Aug 2024","2024","","","1","4","Graphene geometric diodes could provide rectification at terahertz frequencies and present promising application in rectennas design for sensing and energy harvesting. This paper presents a multiphysics model for the simulation of rectennas, coupling quantum mechanics to simulate ballistic transport in the geometric diode and non linear electromagnetic simulation for the antenna rectification. The current-voltage characteristic, computed through a time-dependent Schrodinger equation approach, is then compared with experiments from the literature, providing a good matching. The diode has subsequently been used as a non linear element in the modelling of the rectenna device achieving a rectified voltage in the order of ten m V and a DC power conversion efficiency for different parallel resistive loads of few kiloohms in the range of 0.01 %.","1944-9380","979-8-3503-8624-0","10.1109/NANO61778.2024.10628926","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628926","quantum simulations;graphene;geometric diodes;THz rectification","Rectennas;Computational modeling;Graphene;Current-voltage characteristics;Voltage;Mathematical models;Sensors","","","","16","IEEE","22 Aug 2024","8-11 July 2024","8-11 July 2024","IEEE","IEEE Conferences"
"Unravelling the Impact of Random Dopant Fluctuations on Si-Based 3nm NSFET: A NEGF Analysis","A. Dixit; A. Rezaei; N. Xeni; N. Kumar; T. Dutta; I. Topaloglu; P. Aleksandrov; A. Asenov; V. Georgiev","James Watt School of Engineering, University of Glasgow, Scotland, UK; Institute for Computing Systems Architecture, University of Edinburgh, Scotland, UK; James Watt School of Engineering, University of Glasgow, Scotland, UK; James Watt School of Engineering, University of Glasgow, Scotland, UK; James Watt School of Engineering, University of Glasgow, Scotland, UK; James Watt School of Engineering, University of Glasgow, Scotland, UK; James Watt School of Engineering, University of Glasgow, Scotland, UK; James Watt School of Engineering, University of Glasgow, Scotland, UK; James Watt School of Engineering, University of Glasgow, Scotland, UK",2024 IEEE 24th International Conference on Nanotechnology (NANO),"22 Aug 2024","2024","","","5","8","The utilization of Technology Computer-Aided Design (TCAD) tools for the simulation of both conventional and new electronic devices has become a crucial aspect within the semiconductor industry, as well as in academic research. This paper presents a comprehensive overview of our research investigating the impact of random dopant fluctuations on “3nm node” silicon nanosheet field effect transistors (NSFETs) fabricated. Our study employs NESS (Nano-Electronic Software Simulator), the in-house device simulator developed by the Device Modelling Group at the University of Glasgow. The first principle study was performed to calculate the electrical parameter of the material, and later a fully 3-D real Non-equilibrium Green's function (NEGF) simulation was performed to capture the device characteristics.","1944-9380","979-8-3503-8624-0","10.1109/NANO61778.2024.10628880","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628880","Nanosheet;field-effect transistors;random dopants;NEGF;First Principles;Variability;NESS","Performance evaluation;Fluctuations;Field effect transistors;Software;Silicon;Nanoscale devices;Semiconductor process modeling","","5","","8","Crown","22 Aug 2024","8-11 July 2024","8-11 July 2024","IEEE","IEEE Conferences"
"Spectral Engineering of a Micro-Cavity using Nano-Scale Asymmetry","A. Al-Attili","Department of Energy Engineering, Faculty of Engineering Technology, Al Hussein Technical University, Amman, Jordan",2024 IEEE 24th International Conference on Nanotechnology (NANO),"22 Aug 2024","2024","","","9","12","A nano-scale asymmetrical grating applied to the circumference of a micro-cavity is proposed, creating a simple asymmetric micro-gear structure with unique characteristics. We demonstrate the effect of this asymmetry on mode splitting by correlating its dimensions to the free spectral range. Additionally, mode-dependent emission behavior is observed, selectively radiating whispering gallery modes (WGM) out-of-plane. Due to asymmetry, clockwise and counterclockwise versions of the cavity exist, enhancing the probability of a certain rotational direction of the WGMs. This enables the generation of vertically emitted modes of nonzero orbital angular momentum with specific order and chirality.","1944-9380","979-8-3503-8624-0","10.1109/NANO61778.2024.10628657","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628657","","Q-factor;Visualization;Orbital calculations;Whispering gallery modes;Gratings;Time-domain analysis;Optimization","","","","20","IEEE","22 Aug 2024","8-11 July 2024","8-11 July 2024","IEEE","IEEE Conferences"
"Nanoparticle Tomography for Vascular Aneurysm Detection","Z. Chen; Z. Gong; S. Wen; Y. Sun; S. Shi; Y. Chen","School of Life Science and Technology, University of Electronic Science and Technology of China, Chengdu, China; Yangtze Delta Region Institute (Quzhou), University of Electronic Science and Technology of China, Quzhou, China; School of Life Science and Technology, University of Electronic Science and Technology of China, Chengdu, China; School of Mechanical and Electrical Engineering, Chengdu University of Technology, Chengdu, China; Yangtze Delta Region Institute (Quzhou), University of Electronic Science and Technology of China, Quzhou, China; School of Life Science and Technology, University of Electronic Science and Technology of China, Chengdu, China",2024 IEEE 24th International Conference on Nanotechnology (NANO),"22 Aug 2024","2024","","","13","16","A vascular aneurysm (VA) is an abnormal bulge or ballooning in the wall of a blood vessel, which results in a great risk of death after rupture. The best way to avoid VA rupture is to detect it at an early stage and take proper measures. However, there is no suitable method for early detection of VA. In this paper, we propose a novel nanoparticles (NPs) based sensing method for VA, namely, NP tomography (NPT). We first construct multiple blood vessel models in the forward problem by varying the location of VA and obtain the time-of-arrival (TOA) of NPs. In the inverse problem, we then infer the actual location of VA based on the recorded TOA of NPs, thereby enabling early VA sensing. The proposed methodology is validated through comprehensive COMSOL simulations. Numerical results demonstrate that the VA detection rate through NPT can be as high as 96 %.","1944-9380","979-8-3503-8624-0","10.1109/NANO61778.2024.10628757","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628757","","Nanoparticles;Accuracy;Inverse problems;Simulation;Aneurysm;Blood vessels;Tomography","","","","20","IEEE","22 Aug 2024","8-11 July 2024","8-11 July 2024","IEEE","IEEE Conferences"
"WSe2 Negative Capacitance Field-Effect Transistor for Glucose Sensing","X. Wu; S. Gao; J. Wang","School of Integrated Circuits, Tsinghua University, Beijing, China; School of Integrated Circuits, Tsinghua University, Beijing, China; School of Integrated Circuits, Tsinghua University, Beijing, China",2024 IEEE 24th International Conference on Nanotechnology (NANO),"22 Aug 2024","2024","","","17","20","Field-effect transistor (FET) biosensors based on two-dimensional materials have been widely concerned in recent years because of their high sensitivity, label free, fast response and easy on-chip integration. However, constrained by the Boltzmann limit, the subthreshold swing (SS) of these sensors cannot fall below 60 mV/dec, posing challenges for further sensitivity enhancement. We present the biosensor based on a two-dimensional material WSe2 negative capacitance field-effect transistor (NCFET) with graphene electrodes, which achieves ultra-steep subthreshold swing (SS<60 mV/dec) in aqueous solution, while demonstrating extremely high glucose sensing sensitivity. At room temperature, WSe2 NCFET achieves a minimum subthreshold swing of 56 mV/dec in a liquid environment, and was used for the first time to detect glucose molecules with high sensitivity, wide detection range and specificity by enzymatic catalysis. The sensitivity of the WSe2 NCFET biosensor could reach 4800 A/A in a glucose solution with a concentration of 5 mM. This work inspires further basic research and potential applications for highly sensitive biosensors.","1944-9380","979-8-3503-8624-0","10.1109/NANO61778.2024.10628944","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628944","","Temperature sensors;Temperature distribution;Sensitivity;Capacitance;Glucose;Sensors;System-on-chip","","","","12","IEEE","22 Aug 2024","8-11 July 2024","8-11 July 2024","IEEE","IEEE Conferences"
"Size-Dependent Formation of Au-NPs Monolayer Under High Electric Field","F. A. Deader; Y. Abbas; M. Rezeq; A. Qurashi; M. Al-Qutayri; V. Chan","Department of Physics and System on chip lab, Khalifa University, Abu Dhabi, UAE; Department of Physics and System on chip lab, Khalifa University, Abu Dhabi, UAE; Department of Physics and System on chip lab, Khalifa University, Abu Dhabi, UAE; Department of Chemistry, Khalifa University, Abu Dhabi, UAE; Department of Computer and Communication Engineering, Khalifa University, Abu Dhabi, UAE; Department of Biomedical Engineering and Biotechnology, Khalifa University, Abu Dhabi, UAE",2024 IEEE 24th International Conference on Nanotechnology (NANO),"22 Aug 2024","2024","","","21","24","Nanoparticles (NPs) are considered functional materials due to their fundamental properties of high surface-to-volume ratio, high conductivity, and diversified surface functionalization. We conducted experiments on NPs of different sizes and calculated their UV-Vis absorption and zeta potential when they were suspended as a colloid solution of DI water with some traces of citrate. NPs are stabilized by citrate ions and rendered with a net negative surface potential, which can be confirmed by using a zeta-sizer for zeta potential measurement. Citrate ions acting as ligands form a coating on the surface of NPs and induce electrostatic repulsion due to their overall negative charges, whereas NP's inner cores attract each other due to the van der Waals (vdW) force of attraction. The balance of repulsion and attraction keeps NPs stabilized in the aqueous solution for a prolonged period. Different sizes of NPs were subjected to an electric field to form the monolayer on a silicon substrate. The NPs of smaller sizes form an incomplete monolayer of disintegrated islands, due to their lower core: core attractions, these NPs fail to make a uniform and continuous monolayer. NPs of sizes greater than 40 nm show aggregation when placed in a high electric field environment due to their large core size and hence elevated core: core attraction. These large NPs aggregate irreversibly and form the clumps of NPs called nanoclusters. Interestingly, the optimal size of 20nm NPs leads to the formation of a perfectly hexagonally packed monolayer on the substrate when subjected to an electric field of $\approx 7.2\mathrm{x}10^{4}\mathrm{V}/\mathrm{m}$,","1944-9380","979-8-3503-8624-0","10.1109/NANO61778.2024.10628614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628614","","Electric potential;Solvents;Force;Ions;Silicon;Electric fields;Probes","","1","","23","IEEE","22 Aug 2024","8-11 July 2024","8-11 July 2024","IEEE","IEEE Conferences"
"Demonstration and Optimization of Multi-Fin Dual Spacer FinFET for Reliable Sub-THz Frequency Operation","J. Patel; N. Aggarwal; N. Bagga; V. Kumar; A. Dixit; N. Kumar; V. Georgiev; S. Dasgupta","Indian Institute of Technology, Roorkee, Uttarakhand, India; Indian Institute of Technology, Roorkee, Uttarakhand, India; School of Electrical Sciences, Indian Institute of Technology Bhubaneswar, Odisha, India; Department of Electronics Engineering, NIT - Uttarakhand, India; University of Glasgow, United Kingdom; University of Glasgow, United Kingdom; University of Glasgow, United Kingdom; Indian Institute of Technology, Roorkee, Uttarakhand, India",2024 IEEE 24th International Conference on Nanotechnology (NANO),"22 Aug 2024","2024","","","25","29","This paper proposes a dual dielectric (DD) spacer multi-fin (MF) FinFET for sub-THz frequency operation. The placement of the DD spacers over the source/drain (S/D) extension regions offers additional capacitances, which are included in the modified small-signal model to predict the Y-parameter behavior accurately. The modeled Y-parameters are in good agreement with the TCAD-extracted data. Dual spacer capacitance increases the gate coupling and thus improves the DC performance. The optimized device shows the stable marginal frequency $(f_{m})$ of 88.2 GHz, which is 21% higher than the baseline FinFET but at the cost of a diminished ratio of cut-off frequency to maximum oscillation frequency $(f_{T}/f_{max})$ due to additional spacer capacitance. $f_{T}$ and $f_{max}$ are obtained as 358 GHz and 579 GHz, respectively, for the optimal dual dielectric length. The paper thoroughly explores the behavior of capacitance and resistance modulation, transconductance, and intrinsic gain concerning the highic spacer length and the number of fins (n). A comprehensive analysis of various RF and stability figure-of-merits (FoMs) is conducted to determine the optimal operating conditions.","1944-9380","979-8-3503-8624-0","10.1109/NANO61778.2024.10628608","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628608","Multi-fin FinFET;Dual-dielectric;Spacer engineering;Small-signal model;Sub-THz frequency","Performance evaluation;Resistance;Frequency modulation;Cutoff frequency;Logic gates;FinFETs;Stability analysis","","2","","11","IEEE","22 Aug 2024","8-11 July 2024","8-11 July 2024","IEEE","IEEE Conferences"
"On-the-fly Defect-Aware Design of Circuits based on Silicon Dangling Bond Logic","J. Drewniok; M. Walter; S. S. Hang Ng; K. Walus; R. Wille","Chair for Design Automation, Technical University of Munich, Germany; Chair for Design Automation, Technical University of Munich, Germany; Department of Electrical and Computer Engineering, University of British, Columbia, Canada; Department of Electrical and Computer Engineering, University of British, Columbia, Canada; Chair for Design Automation, Technical University of Munich, Germany",2024 IEEE 24th International Conference on Nanotechnology (NANO),"22 Aug 2024","2024","","","30","35","Silicon Dangling Bonds (SiDBs) have emerged as a promising post-CMOS technology for achieving ultra-low power dissipation, establishing themselves as a highly anticipated and environmentally friendly competitor in the realm beyond conventional CMOS. To support the SiDB logic framework, design automation approaches have rapidly evolved. However, at the atomic scale of SiDBs, material imperfections pose a significant roadblock in scaling these devices. Consequently, es-tablished design automation flows, which are defect-agnostic, are inadequate and have not kept pace with the latest experimental findings and advances in fabrication capabilities. A first attempt was recently proposed that extends established defect-agnostic physical design methods by rudimentary defect-aware capabilities. While promising at first glance, in this work, we show that this first attempt yields unsatisfactory results. Subsequently, we present a novel approach that automatically designs a tailored SiDB gate on-the-fly whenever an SiDB gate encounters atomic defects in its vicinity, thereby incorporating these atomic defects into its layout as an integral part. Our experimental evaluations confirm that the proposed approach is capable of designing SiDB circuits of significant complexity and size, even in the presence of atomic defects for the first time. Therefore, this work contributes to advancing this promising post-CMOS technology.","1944-9380","979-8-3503-8624-0","10.1109/NANO61778.2024.10628962","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628962","","Fabrication;Design automation;Simulation;Circuits;Layout;Logic gates;Silicon","","2","","32","IEEE","22 Aug 2024","8-11 July 2024","8-11 July 2024","IEEE","IEEE Conferences"
"Nonlinear Optical Susceptibilities of [100], [110] and [111] Silicon Nanowires: A DFT Study","D. Shiri; M. G. Rabbani","Researcher at the Department of Microtechnology & Nanoscience, Chalmers University of Technology, Gothenburg, Sweden; Researcher at the Department of Microtechnology & Nanoscience, Chalmers University of Technology, Gothenburg, Sweden",2024 IEEE 24th International Conference on Nanotechnology (NANO),"22 Aug 2024","2024","","","36","40","Using time-independent density functional theory (TIDFT), we demonstrate enhancement of the 2nd order optical susceptibilities of narrow (1 nm – 2 nm) unstrained Silicon Nanowires (SiNW) due to surface termination. It is shown that $\mathrm{x}^{(2)}$ is enhanced up to 200 pm/V which promises a strong second harmonic generation (SHG) in SiNWs. For [100, 110] and [111] SiNWs, the $yxx$ component of $\mathrm{x}^{(2)}$ tensor is 81, 225 and 81 pm/V, respectively. These are in close agreement with values reported for strained silicon waveguides in experiments. For [110] and [100] nanowires, the 3rd order nonlinear optical susceptibility, $\mathrm{x}^{(3)}$, is within the range of $(0.1-12)\times 10^{-18}$ m2/V2 which is close to the experimental values for bulk silicon. For [111] nanowires this is 100 times better than bulk silicon. This study shows methods of enhancing SHG in SiNWs through symmetry breaking via strain and/or surface termination and reconstruction. It also showcases the suitability of this fast DFT-based method in predicting the nonlinear optical susceptibilities of nano structures.","1944-9380","979-8-3503-8624-0","10.1109/NANO61778.2024.10628839","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628839","","Optical polarization;Tensors;Fitting;Frequency conversion;Silicon;Optical harmonic generation;Mathematical models","","","","17","IEEE","22 Aug 2024","8-11 July 2024","8-11 July 2024","IEEE","IEEE Conferences"
