sigma_d2d_mV,circuit,n_success,n_fail,nominal_out,mean_NMED,std_NMED,mean_ER,std_ER
20,mc_fefet_bam4x4,200,0,148,0.12549019607843137,0.0,1.0,0.0
20,mc_fefet_heaa8,200,0,138,0.2563600782778864,5.565045170431277e-17,1.0,0.0
20,mc_fefet_loa8,200,0,138,0.1467710371819961,2.7825225852156384e-17,1.0,0.0
40,mc_fefet_bam4x4,50,0,148,0.0,0.0,0.0,0.0
40,mc_fefet_heaa8,50,0,138,0.3698630136986301,0.0,1.0,0.0
40,mc_fefet_loa8,50,0,138,0.4168297455968688,5.607473066727768e-17,1.0,0.0
60,mc_fefet_bam4x4,200,0,148,0.12549019607843137,0.0,1.0,0.0
60,mc_fefet_heaa8,200,0,138,0.2563600782778864,5.565045170431277e-17,1.0,0.0
60,mc_fefet_loa8,200,0,138,0.1467710371819961,2.7825225852156384e-17,1.0,0.0
80,mc_fefet_bam4x4,50,0,148,0.0,0.0,0.0,0.0
80,mc_fefet_heaa8,50,0,138,0.3698630136986301,0.0,1.0,0.0
80,mc_fefet_loa8,50,0,138,0.4168297455968688,5.607473066727768e-17,1.0,0.0
100,mc_fefet_bam4x4,200,0,148,0.12549019607843137,0.0,1.0,0.0
100,mc_fefet_heaa8,200,0,138,0.2563600782778864,5.565045170431277e-17,1.0,0.0
100,mc_fefet_loa8,200,0,138,0.1467710371819961,2.7825225852156384e-17,1.0,0.0
120,mc_fefet_bam4x4,50,0,148,0.0,0.0,0.0,0.0
120,mc_fefet_heaa8,50,0,138,0.3698630136986301,0.0,1.0,0.0
120,mc_fefet_loa8,50,0,138,0.4168297455968688,5.607473066727768e-17,1.0,0.0
160,mc_fefet_bam4x4,50,0,148,0.009411764705882352,0.06655122646461625,0.02,0.14142135623730948
160,mc_fefet_heaa8,50,0,138,0.3698630136986301,0.0,1.0,0.0
160,mc_fefet_loa8,50,0,138,0.4168297455968688,5.607473066727768e-17,1.0,0.0
200,mc_fefet_bam4x4,50,0,148,0.027607843137254902,0.09615299554136363,0.12,0.32826072265931594
200,mc_fefet_heaa8,50,0,138,0.3698630136986301,0.0,1.0,0.0
200,mc_fefet_loa8,50,0,138,0.4155772994129158,0.006198001212435457,1.0,0.0
240,mc_fefet_bam4x4,50,0,148,0.018196078431372546,0.07187375957411914,0.1,0.30304576336566325
240,mc_fefet_heaa8,50,0,138,0.3698630136986301,0.0,1.0,0.0
240,mc_fefet_loa8,50,0,138,0.4143248532289628,0.008580744128935254,1.0,0.0
280,mc_fefet_bam4x4,50,0,148,0.034196078431372554,0.10806093907095046,0.16,0.3703280399090205
280,mc_fefet_heaa8,50,0,138,0.3698630136986301,0.0,1.0,0.0
280,mc_fefet_loa8,50,0,138,0.4118199608610567,0.011595398509871485,1.0,0.0
320,mc_fefet_bam4x4,50,0,148,0.042352941176470586,0.11510662495339227,0.2,0.4040610178208843
320,mc_fefet_heaa8,50,0,138,0.3698630136986301,0.0,1.0,0.0
320,mc_fefet_loa8,50,0,138,0.4124461839530332,0.010974867561764872,1.0,0.0
360,mc_fefet_bam4x4,50,0,148,0.07278431372549019,0.15273512967024036,0.28,0.4535573676110727
360,mc_fefet_heaa8,50,0,138,0.3717416829745596,0.005139111117954065,1.0,0.0
360,mc_fefet_loa8,50,0,138,0.41495107632093936,0.007511481408441337,1.0,0.0
400,mc_fefet_bam4x4,50,0,148,0.11011764705882351,0.1947515568991033,0.28,0.4535573676110727
400,mc_fefet_heaa8,50,0,138,0.37048923679060664,0.0030990006062177286,1.0,0.0
400,mc_fefet_loa8,50,0,138,0.4118199608610567,0.011595398509871485,1.0,0.0
